,name,often_tested,multirun,boxcox_lmbda
47,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
48,test_base_list,0.0,-1.0,-0.3260524396705315
49,test_base_list,0.0,-1.0,-0.3260524396705315
50,test_base_list,0.0,-1.0,-0.3260524396705315
51,test_base_list,0.0,-1.0,-0.3260524396705315
52,test_img_link,0.0,-1.0,-0.3260524396705315
53,test_img_link,0.0,-1.0,-0.3260524396705315
54,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
55,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
56,test_tables_struct,0.0,-1.0,-0.3260524396705315
57,test_tables_struct,0.0,-1.0,-0.3260524396705315
58,test_markup,0.0,-1.0,-0.3260524396705315
59,test_markup,0.0,-1.0,-0.3260524396705315
60,test_base_link,0.0,-1.0,-0.3260524396705315
61,test_base_link,0.0,-1.0,-0.3260524396705315
62,test_text_contrast,0.0,-1.0,-0.3260524396705315
63,test_text_contrast,0.0,-1.0,-0.3260524396705315
64,test_text_contrast,0.0,-1.0,-0.3260524396705315
65,test_text_contrast,0.0,-1.0,-0.3260524396705315
66,test_text_contrast,0.0,-1.0,-0.3260524396705315
67,test_text_contrast,0.0,-1.0,-0.3260524396705315
68,test_text_contrast,0.0,-1.0,-0.3260524396705315
69,test_img_link,0.0,-1.0,-0.3260524396705315
70,test_img_link,0.0,-1.0,-0.3260524396705315
71,test_img_link,0.0,-1.0,-0.3260524396705315
72,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
73,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
74,test_base_link,0.0,-1.0,-0.3260524396705315
75,test_base_link,0.0,-1.0,-0.3260524396705315
76,test_base_link,0.0,-1.0,-0.3260524396705315
77,test_base_link,0.0,-1.0,-0.3260524396705315
78,test_base_link,0.0,-1.0,-0.3260524396705315
79,test_img_link,0.0,-1.0,-0.3260524396705315
80,test_img_link,0.0,-1.0,-0.3260524396705315
81,test_img_link,0.0,-1.0,-0.3260524396705315
82,test_img_link,0.0,-1.0,-0.3260524396705315
